nRegisto,dci,nome_medicamento,forma_farmaceutica,dosagem,tamanho_embalagem,cnpem,pricePVP,pricePVPnotified,priceUtente,pricePensionist,commercialized,isGeneric,infoUrl
5879952,Tirzepatida,Mounjaro,Solução injetável em caneta pré-cheia,2.5 mg/0.6 ml,1 unidade(s) - 2.4 ml,50210670,"€ 182,92",,"€ 182,92","€ 182,92",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=bc7ae840aaa849fab8f43428d486ce84
5879978,Tirzepatida,Mounjaro,Solução injetável em caneta pré-cheia,5 mg/0.6 ml,1 unidade(s) - 2.4 ml,50210696,"€ 244,80",,"€ 244,80","€ 244,80",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=9d953c37b3b94af2900046a939fffe9c
5880034,Tirzepatida,Mounjaro,Solução injetável em caneta pré-cheia,10 mg/0.6 ml,1 unidade(s) - 2.4 ml,50210734,"€ 337,63",,"€ 337,63","€ 337,63",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=b7770ffac7f34f72bc4ad566722541a3
5880018,Tirzepatida,Mounjaro,Solução injetável em caneta pré-cheia,7.5 mg/0.6 ml,1 unidade(s) - 2.4 ml,50210718,"€ 337,63",,"€ 337,63","€ 337,63",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=e862fd8c1cf849cda4d3945359d86096
5880059,Tirzepatida,Mounjaro,Solução injetável em caneta pré-cheia,12.5 mg/0.6 ml,1 unidade(s) - 2.4 ml,50210750,"€ 430,46",,"€ 430,46","€ 430,46",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=4d172a76198c467f87171f215964d72e
5880075,Tirzepatida,Mounjaro,Solução injetável em caneta pré-cheia,15 mg/0.6 ml,1 unidade(s) - 2.4 ml,50210777,"€ 430,46",,"€ 430,46","€ 430,46",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=89b230814e244646a947d130424415fa
2055184,Tizanidina,Sirdalud,Comprimido,2 mg,10 unidade(s),50015613,"€ 2,68",,"€ 1,69","€ 1,29",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=3d0f84906c8a11e28bfbfa3157f3f9cf
5087168,Tizanidina,Tizanidina Teva,Comprimido,2 mg,20 unidade(s),50015613,"€ 3,61",,"€ 2,27","€ 1,73",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=4ff233406d8f11e2b36790f46f42ace2
5067517,Tizanidina,Tizanidina Teva,Comprimido,2 mg,50 unidade(s),50015621,"€ 5,04",,"€ 3,18","€ 0,25",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=4ff233406d8f11e2b36790f46f42ace2
2055283,Tizanidina,Sirdalud,Comprimido,2 mg,50 unidade(s),50015621,"€ 5,36",,"€ 3,50","€ 0,57",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=3d0f84906c8a11e28bfbfa3157f3f9cf
5572383,Dexametasona + Tobramicina,Tobradex,"Colírio, suspensão",1 mg/ml + 3 mg/ml,1 unidade(s) - 5 ml,50043200,"€ 4,05",,"€ 4,05","€ 4,05",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=f8aed7606c8e11e290b4b5550899b344
5170857,Tocilizumab,Roactemra,Concentrado para solução para perfusão,20 mg/ml,1 unidade(s) - 4 ml,50116720,"€ 138,15",,"€ 138,15","€ 138,15",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=540f43506d9411e2bec5a843d0bdd3cc
5170873,Tocilizumab,Roactemra,Concentrado para solução para perfusão,20 mg/ml,1 unidade(s) - 10 ml,50116703,"€ 319,22",,"€ 319,22","€ 319,22",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=540f43506d9411e2bec5a843d0bdd3cc
5170915,Tocilizumab,Roactemra,Concentrado para solução para perfusão,20 mg/ml,1 unidade(s) - 20 ml,50116681,"€ 608,47",,"€ 608,47","€ 608,47",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=540f43506d9411e2bec5a843d0bdd3cc
5603758,Tocilizumab,Roactemra,Solução injetável em seringa pré-cheia,162 mg/0.9 ml,4 unidade(s) - .9 ml,50144006,"€ 879,58",,"€ 879,58","€ 879,58",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=33676cf0d1ec11e39f14e1c0aedc0048
5309315,Toxina botulínica A,Bocouture,Pó para solução injetável,50 U,1 unidade(s),50120956,"€ 97,67",,"€ 97,67","€ 97,67",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=960f66106da111e2a45187edfcc1870e
5834072,Toxina botulínica A,Letybo,Pó para solução injetável,50 U,1 unidade(s),50120956,"€ 103,73",,"€ 103,73","€ 103,73",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=36a7dc8fa496409384bcca7139e3f934
5898838,Toxina botulínica A,Relfydess,Solução injetável,100 U/ml,1 unidade(s) - 1.5 ml,50213229,"€ 110,92",,"€ 110,92","€ 110,92",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=005b19bafcc14e1ee060a8c034291620
5285085,Toxina botulínica A,Vistabel,Pó para solução injetável,50 U,1 unidade(s),50120956,"€ 118,02",,"€ 118,02","€ 118,02",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=6cc053e06d9311e2bdbab841bad83967
5065461,Toxina botulínica A,Xeomin,Pó para solução injetável,100 U,1 unidade(s),50179462,"€ 171,95",,"€ 171,95","€ 171,95",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=8bb6c9306d8b11e29aa58b98ed468b9c
3186186,Toxina botulínica A,Botox,Pó para solução injetável,100 U,1 unidade(s),50198181,"€ 171,96",,"€ 171,96","€ 171,96",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=d214f8106d5a11e29038945750275853
5392402,Toxina botulínica A,Xeomin,Pó para solução injetável,50 U,2 unidade(s),50179560,"€ 179,00",,"€ 179,00","€ 179,00",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=9d989a906e4c11e2b0e492595f42bc37
5708516,Toxina botulínica A,Bocouture,Pó para solução injetável,100 U,1 unidade(s),50113828,"€ 183,65",,"€ 183,65","€ 183,65",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=350ac1f015cb11e59def803b442e6c4e
5846639,Toxina botulínica A,Vistabel,Pó para solução injetável,100 U,1 unidade(s),50113828,"€ 210,68",,"€ 210,68","€ 210,68",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=f8464661d9af409398c0cada07da0290
5749353,Toxina botulínica A,Botox,Pó para solução injetável,200 U,1 unidade(s),50198467,"€ 331,19",,"€ 331,19","€ 331,19",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=494882a06e3f11e292afbb39a90687fc
5898846,Toxina botulínica A,Relfydess,Solução injetável,100 U/ml,10 unidade(s) - 1.5 ml,50213237,"€ 962,61",,"€ 962,61","€ 962,61",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=005b19bafcc14e1ee060a8c034291620
5185657,Toxina botulínica A,Azzalure,Pó para solução injetável,125 U,2 unidade(s),50116657,,"€ 190,31","€ 190,31","€ 190,31",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=4c8d92306d9411e2a459cbb4c21e56e8
3799483,Toxina botulínica A,Dysport,Pó para solução injetável,500 U,1 unidade(s),50198084,,"€ 238,57","€ 238,57","€ 238,57",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=ce4cb3306d5f11e2b7aba5036c044d11
5854146,Tramadol,Tramadol Basi,Cápsula,50 mg,20 unidade(s),50016717,"€ 2,63",,"€ 1,52","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=16b6aa4f365c42e2aade45546ea77b92
5736327,Tramadol,Tramadol Krka,Cápsula,50 mg,20 unidade(s),50016717,"€ 2,87",,"€ 1,76","€ 0,03",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=5313715007ce11e788bfc57c6dadcd39
5700257,Tramadol,Tramadol Aurovitas,Cápsula,50 mg,20 unidade(s),50016717,"€ 3,03",,"€ 1,92","€ 0,19",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=5ed73800b3ba11e59ad0f0ff5eb62010
5760145,Tramadol,Tramadol TAD,Comprimido de libertação prolongada,200 mg,20 unidade(s),50016830,"€ 5,13",,"€ 1,98","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=9cdb6af0f52511e7ac889303e6f8ca87
5012307,Tramadol,Tramadol Azevedos,Cápsula,50 mg,20 unidade(s),50016717,"€ 3,14",,"€ 2,03","€ 0,30",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=8994b0b06d8411e2b040a5a0e4345b70
5723606,Tramadol,Tramadol Generis,Cápsula,50 mg,20 unidade(s),50016717,"€ 3,28",,"€ 2,17","€ 0,44",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=d0b4b1e060cb11e78e9ec53608f2b356
5760103,Tramadol,Tramadol TAD,Comprimido de libertação prolongada,100 mg,20 unidade(s),50016776,"€ 3,93",,"€ 2,20","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=646aded0f52511e797eba019f200a371
5853577,Tramadol,Mabron,Solução injetável,100 mg/2 ml,5 unidade(s) - 2 ml,50016750,"€ 3,86",,"€ 2,34","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=b4f4c6ebf1374e13a93fc3f6657d12b5
2668986,Tramadol,Tramadol Ciclum,"Gotas orais, solução",100 mg/ml,1 unidade(s) - 10 ml,50016733,"€ 3,76",,"€ 2,37","€ 0,18",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=cc049e506d6711e2b8f6f3649b1246f9
3759396,Tramadol,Tramadol Generis 100 mg/ml Solução Oral,"Gotas orais, solução",100 mg/ml,1 unidade(s) - 10 ml,50016733,"€ 3,78",,"€ 2,39","€ 0,20",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=90e837d06d8211e2a3ad88b88152f6c8
8740605,Tramadol,Tramal,"Gotas orais, solução",100 mg/ml,1 unidade(s) - 10 ml,50016733,"€ 3,78",,"€ 2,39","€ 0,20",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=ccd1e2d06c8a11e2b9f5e8cf14d4b56e
5463369,Tramadol,Tramadol Mylan,Comprimido de libertação prolongada,200 mg,20 unidade(s),50016830,"€ 5,72",,"€ 2,57","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=38e6a7306e5211e2a37dbb576b1c51d7
5264288,Tramadol,Travex Rapid,Comprimido orodispersível,50 mg,20 unidade(s),50041274,"€ 4,11",,"€ 2,59","€ 1,97",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=b0024ad06db311e2bcecf53f977689c4
2679686,Tramadol,"Tramadol Ciclum 50 mg, cápsulas",Cápsula,50 mg,20 unidade(s),50016717,"€ 3,73",,"€ 2,62","€ 2,18",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=c9ab93206d6711e2b299916b9e9e1ab4
4348587,Tramadol,Tramadol Labesfal,Comprimido de libertação prolongada,100 mg,20 unidade(s),50016776,"€ 4,53",,"€ 2,80","€ 0,08",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=3386b7b06e1d11e2801fd949a9235d64
5463302,Tramadol,Tramadol Mylan,Comprimido de libertação prolongada,100 mg,20 unidade(s),50016776,"€ 4,59",,"€ 2,86","€ 0,14",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=2c14caf06e5211e2afa5a1f1f3983c3f
5760111,Tramadol,Tramadol TAD,Comprimido de libertação prolongada,100 mg,30 unidade(s),50016792,"€ 5,21",,"€ 2,87","€ 0,00",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=646aded0f52511e797eba019f200a371
2830982,Tramadol,Tramadol Mylan,Cápsula,50 mg,20 unidade(s),50016717,"€ 4,05",,"€ 2,94","€ 2,50",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=3e0969506d5811e2ac358d7113283f4f
5032016,Tramadol,Tramadol Aurovitas,Comprimido de libertação prolongada,100 mg,20 unidade(s),50016776,"€ 4,78",,"€ 3,05","€ 0,33",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=7f6603d06d8b11e29514dc18c2f8c785
2632685,Tramadol,Travex,Cápsula de libertação prolongada,50 mg,20 unidade(s),50016865,"€ 5,01",,"€ 3,16","€ 2,40",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=e29d87d06d6711e2b7bcec4f0efff189
4376182,Tramadol,Travex,Cápsula de libertação prolongada,50 mg,30 unidade(s),50016873,"€ 5,36",,"€ 3,38","€ 2,57",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=e29d87d06d6711e2b7bcec4f0efff189
8565002,Tramadol,Tramal,Solução injetável,100 mg/2 ml,5 unidade(s) - 2 ml,50016750,"€ 5,14",,"€ 3,62","€ 1,23",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=a9194b306c8a11e2a66cb8e0084e1778
