nomeComercial,substanciaAtiva,formaFarmaceutica,dosagem,titularAIM,aimStatus,dispensacaoClass,viasAdministracao,isGeneric,margemTerapeuticaEstreita,comercializado,nRegisto,cnpem,pricePVP,detailUrl,fiUrl,rcmUrl
Depakine,Ácido valpróico,Xarope,40 mg/ml,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,9665,,,,
Depakine Chrono 300,Ácido valpróico,Comprimido de libertação prolongada,300 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,2414,,,,
Depakine Chrono 500,Ácido valpróico,Comprimido de libertação prolongada,500 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,2415,,,,
Depakine Chronosphere,Ácido valpróico,Granulado de libertação modificada,100 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,37542,,,,
Depakine Chronosphere,Ácido valpróico,Granulado de libertação modificada,1000 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,37547,,,,
Depakine Chronosphere,Ácido valpróico,Granulado de libertação modificada,250 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,37544,,,,
Depakine Chronosphere,Ácido valpróico,Granulado de libertação modificada,500 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,37545,,,,
Depakine Chronosphere,Ácido valpróico,Granulado de libertação modificada,750 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,37546,,,,
Diplexil,Ácido valpróico,Comprimido gastrorresistente,500 mg,"Tecnifar - Indústria Técnica Farmacêutica, S.A.",Autorizado,,,,,Não,,2687,,,,
Diplexil,Ácido valpróico,Comprimido revestido,200 mg,"Tecnifar - Indústria Técnica Farmacêutica, S.A.",Autorizado,,,,,Não,,2686,,,,
Diplexil,Ácido valpróico,Solução oral,200 mg/ml,"Tecnifar - Indústria Técnica Farmacêutica, S.A.",Autorizado,,,,,Não,,2688,,,,
EpixivalMG,Ácido valpróico,Solução injetável,100 mg/ml,"Pharma Bavaria Internacional (PBI) Portugal, Unipessoal Lda.",Autorizado,,,,,Não,,621222,,,,
Orfiril XR,Ácido valpróico,Cápsula de libertação prolongada,150 mg,Desitin Arzneimittel GmbH,Autorizado,,,,,Não,,32806,,,,
Orfiril XR,Ácido valpróico,Cápsula de libertação prolongada,300 mg,Desitin Arzneimittel GmbH,Autorizado,,,,,Não,,32807,,,,
Orfiril XR,Ácido valpróico,Granulado de libertação prolongada,1000 mg,Desitin Arzneimittel GmbH,Autorizado,,,,,Não,,32809,,,,
Orfiril XR,Ácido valpróico,Granulado de libertação prolongada,500 mg,Desitin Arzneimittel GmbH,Autorizado,,,,,Não,,32808,,,,
Valproato de sódio AltanMG,Ácido valpróico,Pó para solução injetável,400 mg,"Altan Pharmaceuticals, S.A.",Autorizado,,,,,Não,,609963,,,,
Valproato de sódio Seacross,Ácido valpróico,Solução injetável ou para perfusão,100 mg/ml,Seacross Pharma (Europe) Limited,Autorizado,,,,,Não,,700544,,,,
Ácido Zoledrónico AltanMG,Ácido zoledrónico,Solução para perfusão,4 mg/100 ml,"Altan Pharmaceuticals, S.A.",Autorizado,,,,,Não,,619742,,,,
Ácido zoledrónico AltanMG,Ácido zoledrónico,Solução para perfusão,5 mg/100 ml,"Altan Pharmaceuticals, S.A.",Autorizado,,,,,Não,,690724,,,,
Ácido Zoledrónico BluepharmaMG,Ácido zoledrónico,Solução para perfusão,5 mg/100 ml,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Autorizado,,,,,Não,,704904,,,,
Ácido Zoledrónico HikmaMG,Ácido zoledrónico,Concentrado para solução para perfusão,4 mg/5 ml,"Hikma Farmacêutica (Portugal), S.A.",Autorizado,,,,,Não,,54079,,,,
Ácido zoledrónico SeacrossMG,Ácido zoledrónico,Solução para perfusão,5 mg/100 ml,Seacross Pharma (Europe) Limited,Autorizado,,,,,Não,,699164,,,,
